Latitude,Longtitude,Description,Label,Placemark number
59.836235, 30.208254, "Ulitsa Burtseva, 11, Sankt-Peterburg, Russia, 198261", "3812841c-f39d-ea11-9434-5c260afdbb6a" , "1"
59.845279, 30.251192, "пр-т. Ветеранов, 5, Sankt-Peterburg, Russia, 198255", "5051702a-f39d-ea11-9434-5c260afdbb6a" , "2"
59.895036, 30.512673, "Kudrovo, Leningrad Oblast, Russia", "b9d9c738-f39d-ea11-9434-5c260afdbb6a" , "3"
60.044679, 30.342860, "Poeticheskiy Bul'var, 3, Sankt-Peterburg, Russia, 194295", "Home" , "4"
59.956101, 30.299193, "Bol'shaya Pushkarskaya Ulitsa, 11, Sankt-Peterburg, Russia", "Work" , "5"
