Latitude,Longtitude,Description,Label,Placemark number
59.836235, 30.208254, "Ulitsa Burtseva, 11, Sankt-Peterburg, Russia, 198261", "3812841c-f39d-ea11-9434-5c260afdbb6a" , "1"
59.845279, 30.251192, "пр-т. Ветеранов, 5, Sankt-Peterburg, Russia, 198255", "5051702a-f39d-ea11-9434-5c260afdbb6a" , "2"
59.895036, 30.512673, "Kudrovo, Leningrad Oblast, Russia", "b9d9c738-f39d-ea11-9434-5c260afdbb6a" , "3"
59.7532939,30.5693752, "Russia, Санкт-Петербург,  Колпино, Финляндская улица  , 22ж", "Address from geocoding" , "4"
59.7541376,30.5230151, "Russia, Санкт-Петербург,  Колпино, Финляндская улица  , 22ж", "Address from geocoding" , "5"
